Year_Month,Province,Standardized_NO2,Standardized_PM25,Standardized_PM10
2017-04,Gelderland,0.7638784251080506,0.5951248078176476,2.7933824788419814
2017-04,Groningen,-0.2194563437586118,-0.46179592198640323,3.2508683629348263
2017-04,Limburg,0.5141480379650617,0.9740342795684852,1.6510870230451116
2017-04,Noord-Brabant,0.5335339856694103,0.7115873430125208,2.5232287136100116
2017-04,Noord-Holland,0.8745708730402486,0.26032187483915126,2.5372811681586476
2017-04,Overijssel,-1.3467851543635883,0.2066277347216384,1.5714831304609356
2017-04,Utrecht,0.6562816224861647,0.10202234826411868,2.135580115040266
2017-04,Zeeland,-0.2546371296208657,,2.07585664823631
2017-04,Zuid-Holland,1.1485630407842433,0.504193937405218,2.610475057306055
2017-05,Drenthe,-0.5543238508986823,,1.830584498703204
2017-05,Flevoland,-0.8125012618821082,,1.9226175629830131
2017-05,Friesland,-1.2693344704791727,-0.299191401838916,1.5837530148903805
2017-05,Gelderland,0.536166640762593,0.18858120760833444,3.167745098757379
2017-05,Groningen,0.020090719746208015,-0.2749793768375402,3.5869263053388485
2017-05,Limburg,0.23863481235028572,-0.06584410563642887,1.8524156878641296
2017-05,Noord-Brabant,0.5032390329021028,0.38445584990618126,2.5507554842247115
2017-05,Noord-Holland,0.8898487241150009,0.3899346932486062,2.360901596358474
2017-05,Overijssel,-1.1033995064507234,-0.6061832019884033,1.7894331847836558
2017-05,Utrecht,0.318393385379252,0.015998455460482706,
2017-05,Zeeland,0.009344474171825372,,
2017-05,Zuid-Holland,1.0910261177319724,0.2681443873435402,
2017-06,Drenthe,-0.8492872687486612,,2.3352979550371162
2017-06,Flevoland,-1.0718967591161166,,2.559063974402495
2017-06,Friesland,-1.572506126510552,-1.2164857459776681,2.173529847341353
2017-06,Gelderland,0.4239333086399051,-0.4347889645347816,3.313681358747818
2017-06,Groningen,-0.22386421839830595,-1.050858134860411,3.7108370293279727
2017-06,Limburg,0.07073310621610522,-0.551858672899393,1.6565493493300958
2017-06,Noord-Brabant,0.1493630322681086,-0.13910869601339876,
2017-06,Noord-Holland,0.602479820015174,-0.22427160163840218,
2017-06,Overijssel,-1.1953194952086887,-0.9624079169939284,
2017-06,Utrecht,0.22198947694762036,-0.7915759863056742,2.202909014031875
2017-06,Zeeland,-0.5534987593217917,,2.3373293109367457
2017-06,Zuid-Holland,0.7964884838136181,-0.21450427527800342,2.325889522481295
2017-07,Drenthe,-1.803310139700222,,-0.639810111673149
2017-07,Flevoland,-1.3602103746015155,,0.3122925487063807
2017-07,Friesland,-1.9182265518068393,-2.2965227053864408,-0.026041399092615377
2017-07,Gelderland,0.21863699897201827,-0.6812310726221099,
2017-07,Groningen,-0.4364532313505643,-1.6999535575427562,
2017-07,Limburg,-0.11666574326068692,-0.7718321510165586,
2017-07,Noord-Brabant,-0.0045430578051420725,-0.4644738795015751,2.4966877725794365
2017-07,Noord-Holland,0.48579401894475743,-0.6988319082454271,2.6398336975651198
2017-07,Overijssel,-1.510050820007022,-1.2624829862805433,2.5730301940911784
2017-07,Utrecht,0.09713217901020754,-1.201158525847514,2.3733602015809727
2017-07,Zeeland,-0.932266523450349,,2.2445127431840977
2017-07,Zuid-Holland,0.6291281862431045,-0.6740518157839942,2.6322731415926532
2017-08,Drenthe,-1.3769994705453843,,
2017-08,Flevoland,-0.8034144695238179,,
2017-08,Friesland,-1.5823092188651535,-1.8297790741578073,
2017-08,Gelderland,0.4184856290815105,0.08587036705834195,1.0879839691963356
2017-08,Groningen,-0.3250460680048775,-0.6515816430081052,1.2935815735355318
2017-08,Limburg,0.2238342147343929,-0.04150328006059832,0.26774985100603205
2017-08,Noord-Brabant,0.433485238807245,0.19880115732871986,0.6401111550757993
2017-08,Noord-Holland,0.8829175901722135,0.01008634513754644,0.91677564378558
2017-08,Overijssel,-1.1438916859716044,-0.588331541485241,0.0013626023908451742
2017-08,Utrecht,0.5646649281568571,-0.3163837616715136,0.5638330340227309
2017-08,Zeeland,-0.38589812888848457,,0.5441174535144925
2017-08,Zuid-Holland,1.137915226951507,0.021496324607451288,1.1610213824483164
2017-09,Drenthe,-1.02489251937097,,-0.30598527067341924
2017-09,Flevoland,-0.49704364612986796,,0.8914559127126824
2017-09,Friesland,-1.4186442567101285,-0.6806259044889975,-0.9210818860848412
2017-09,Gelderland,0.6618637801456001,0.234413023225373,0.9509546191223629
2017-09,Groningen,0.252679892696093,-0.13592106197479845,0.07117667341360016
2017-09,Limburg,0.19852890688123948,-0.24841121097480495,1.0595648371644506
2017-09,Noord-Brabant,0.5420966201496089,0.29983068216437914,0.535789151704023
2017-09,Noord-Holland,1.1302874872331488,0.39086945950482865,0.10417522125460553
2017-09,Overijssel,-0.8241298901192955,0.08888545816898649,-0.2828851883112487
2017-09,Utrecht,0.8225513304838428,-0.07854327852124714,
2017-09,Zeeland,-0.42106677095897505,,
2017-09,Zuid-Holland,1.3514626491035742,0.40623675469580195,
2017-10,Drenthe,-0.9605762437133258,,-0.9922053167758114
2017-10,Flevoland,-0.2638509039902297,,-0.09966890596456501
2017-10,Friesland,-1.3814548210571247,-1.2613500672833018,-0.5455706312855063
2017-10,Gelderland,0.7312856944354554,-0.21574668799389085,0.23000396389472277
2017-10,Groningen,0.14149970677178703,-0.9391352690262494,0.3728920990621815
2017-10,Limburg,0.2237298594677204,-0.611836034001317,-0.1654307804423981
2017-10,Noord-Brabant,0.5641884229639224,-0.31823700396070437,
2017-10,Noord-Holland,0.9002308556060863,-0.20114687028065378,
2017-10,Overijssel,-0.6247678627871976,-0.5632889983853052,
2017-10,Utrecht,0.7453657386748282,-0.6233155214660319,-0.037684455602026865
2017-10,Zeeland,-0.5695537425653571,,0.670096805970863
2017-10,Zuid-Holland,1.135401043197699,-0.1635331888177705,0.7159980356369785
2017-11,Drenthe,-0.09995467479640566,,-0.6744069693168975
2017-11,Flevoland,0.4612975554481309,,-0.8762340367238867
2017-11,Friesland,-0.6590337544800136,-0.5401054173014712,-1.1762424853599307
2017-11,Gelderland,1.266984405459046,0.8565601683445696,
2017-11,Groningen,0.8563789703499155,-0.3120041356307122,
2017-11,Limburg,0.7689864485612021,0.6712991982050925,
2017-11,Noord-Brabant,1.1176219577235942,0.9183617692110628,0.0001942144345722965
2017-11,Noord-Holland,1.5305694894737416,0.3630215211128246,-0.023564425441166735
2017-11,Overijssel,0.050192379285950155,0.4506873858522618,-0.34129443759760786
2017-11,Utrecht,1.3991754718467788,0.4428521608751411,-0.23774785970394696
2017-11,Zeeland,-0.06805371290529283,,-0.16908387067973576
2017-11,Zuid-Holland,1.6826069762887912,0.5961199174832628,0.12781852530089907
2017-12,Drenthe,-0.46528921136528845,,
2017-12,Flevoland,0.34830600185389593,,
2017-12,Friesland,-0.7056828905422663,-0.7998252966794355,
2017-12,Gelderland,1.1875558605000491,0.34829876750589583,0.27735824628612327
2017-12,Groningen,0.5480310231993589,-0.4484603095660893,0.7003661292466445
2017-12,Limburg,0.5915598336364073,0.27629031404348836,0.302776933576873
2017-12,Noord-Brabant,0.9744687404051453,0.6161014566220251,0.22084492248609708
2017-12,Noord-Holland,1.3463541414887867,0.1699049512812958,0.19396128426399734
2017-12,Overijssel,-0.10443034628935047,-0.017366439591935852,-0.20854882516204093
2017-12,Utrecht,1.2918394448711041,0.13321590561506627,-0.04302735086266051
2017-12,Zeeland,0.18554935226368208,,-0.21092134065830653
2017-12,Zuid-Holland,1.5491655506460795,0.426571554680679,0.4265385715905935
2018-01,Drenthe,-0.4652325955580723,,-1.6137721427880165
2018-01,Flevoland,0.09141289712064472,,-1.1038017805807818
2018-01,Friesland,-0.5104928389600046,0.08599355003008406,-1.5164756995081679
2018-01,Gelderland,0.8619477515078978,0.5814838466836959,-0.07506427609254482
2018-01,Groningen,0.5923454531956116,0.4931524603424409,0.38078945226505684
2018-01,Limburg,0.30072723806286256,0.33142376070586416,-0.18758067053042485
2018-01,Noord-Brabant,0.7970998958721088,0.8511125641794653,-0.3049075964575413
2018-01,Noord-Holland,1.1703003774011107,0.7654900196819536,-0.41622344787687937
2018-01,Overijssel,-0.27956722971502423,0.15137067345918168,-0.602806685399976
2018-01,Utrecht,1.0078308150436568,0.47031928132563683,
2018-01,Zeeland,-0.025462177005213985,,
2018-01,Zuid-Holland,1.402350876864745,0.8344466684739548,
2018-02,Drenthe,-0.06480631226107726,,-1.2013266254226669
2018-02,Flevoland,0.1989665494963626,,-0.32761645756346736
2018-02,Friesland,-0.3070427428896006,1.7644068673345812,-0.987209328051049
