Unnamed: 0,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2_st,vehicles_tot,Year,RegioS
496.0,2018-06-01,Groningen,-0.5415714198997029,-0.4171128423962051,0.4840564144462256,0.0,-1.0289073219540792,,
497.0,2018-06-01,Limburg,-0.3219845285423687,0.3915584982968328,1.176481484117648,0.0,0.0075417125728072,,
498.0,2018-06-01,Noord-Brabant,-0.2121910828637017,0.3915584982968328,0.7148647710033664,0.0,1.359605384092034,,
499.0,2018-06-01,Noord-Holland,0.1171892541722995,0.1220013847324868,0.7148647710033664,0.0,1.0743410235384998,,
500.0,2018-06-01,Overijssel,-1.2003320939717053,-0.1475557288318591,0.0224397013319442,0.0,0.1062752550472887,,
501.0,2018-06-01,Utrecht,-0.3219845285423687,-0.1475557288318591,0.253248057889085,0.0,0.2266786376344053,,
502.0,2018-06-01,Zeeland,-0.65136486557837,,1.4072898406747885,0.0,-1.5053621895354865,,
503.0,2018-06-01,Zuid-Holland,0.1171892541722995,0.1220013847324868,0.7148647710033664,0.0,1.487081592756217,,
504.0,2018-07-01,Drenthe,-0.9807452026143711,,-0.9007937248966186,0.0,-1.0521706297180344,,
505.0,2018-07-01,Flevoland,-0.761158311257037,,-0.9007937248966186,0.0,-0.9524340992609523,,
506.0,2018-07-01,Friesland,-1.3101255396503724,-1.4953412966535893,-0.6699853683394779,0.0,-0.6815982209571082,,
507.0,2018-07-01,Gelderland,0.1171892541722995,-0.4171128423962051,0.4840564144462256,0.0,0.9589488557843924,,
508.0,2018-07-01,Groningen,-0.5415714198997029,-1.2257841830892433,-0.4391770117823371,0.0,-1.0289073219540792,,
509.0,2018-07-01,Limburg,-0.1023976371850346,-0.1475557288318591,1.4072898406747885,0.0,0.0075417125728072,,
510.0,2018-07-01,Noord-Brabant,0.0073958084936324,-0.4171128423962051,0.4840564144462256,0.0,1.359605384092034,,
511.0,2018-07-01,Noord-Holland,0.3367761455296337,-0.4171128423962051,0.4840564144462256,0.0,1.0743410235384998,,
512.0,2018-07-01,Overijssel,-1.0905386482930384,-0.9562270695248972,-0.6699853683394779,0.0,0.1062752550472887,,
513.0,2018-07-01,Utrecht,-0.2121910828637017,-0.9562270695248972,-0.2083686552251964,0.0,0.2266786376344053,,
514.0,2018-07-01,Zeeland,-0.3219845285423687,,0.0224397013319442,0.0,-1.5053621895354865,,
515.0,2018-07-01,Zuid-Holland,0.2269826998509666,-0.6866699559605512,0.253248057889085,0.0,1.487081592756217,,
516.0,2018-08-01,Drenthe,-0.761158311257037,,-1.1316020814537593,0.0,-1.0521706297180344,,
517.0,2018-08-01,Flevoland,-0.761158311257037,,-0.9007937248966186,0.0,-0.9524340992609523,,
518.0,2018-08-01,Friesland,-1.0905386482930384,-1.4953412966535893,-0.9007937248966186,0.0,-0.6815982209571082,,
519.0,2018-08-01,Gelderland,0.2269826998509666,-0.4171128423962051,0.0224397013319442,0.0,0.9589488557843924,,
520.0,2018-08-01,Groningen,-0.3219845285423687,-1.2257841830892433,-0.6699853683394779,0.0,-1.0289073219540792,,
521.0,2018-08-01,Limburg,0.0073958084936324,-0.4171128423962051,0.4840564144462256,0.0,0.0075417125728072,,
522.0,2018-08-01,Noord-Brabant,0.1171892541722995,-0.4171128423962051,-0.4391770117823371,0.0,1.359605384092034,,
523.0,2018-08-01,Noord-Holland,0.666156482565635,-0.6866699559605512,-0.2083686552251964,0.0,1.0743410235384998,,
524.0,2018-08-01,Overijssel,-0.761158311257037,-0.9562270695248972,-0.9007937248966186,0.0,0.1062752550472887,,
525.0,2018-08-01,Utrecht,0.2269826998509666,-0.6866699559605512,-0.6699853683394779,0.0,0.2266786376344053,,
526.0,2018-08-01,Zeeland,-0.5415714198997029,,-0.9007937248966186,0.0,-1.5053621895354865,,
527.0,2018-08-01,Zuid-Holland,0.666156482565635,-0.6866699559605512,-0.4391770117823371,0.0,1.487081592756217,,
528.0,2018-09-01,Drenthe,-0.761158311257037,,-0.9007937248966186,0.0,-1.0521706297180344,,
529.0,2018-09-01,Flevoland,-0.5415714198997029,,-0.4391770117823371,0.0,-0.9524340992609523,,
530.0,2018-09-01,Friesland,-0.9807452026143711,-1.2257841830892433,-0.9007937248966186,0.0,-0.6815982209571082,,
531.0,2018-09-01,Gelderland,0.666156482565635,-0.1475557288318591,0.253248057889085,0.0,0.9589488557843924,,
532.0,2018-09-01,Groningen,0.0073958084936324,-0.9562270695248972,0.253248057889085,0.0,-1.0289073219540792,,
533.0,2018-09-01,Limburg,0.3367761455296337,-0.1475557288318591,0.4840564144462256,0.0,0.0075417125728072,,
534.0,2018-09-01,Noord-Brabant,0.4465695912083007,-0.1475557288318591,0.253248057889085,0.0,1.359605384092034,,
535.0,2018-09-01,Noord-Holland,0.9955368196016362,-0.4171128423962051,0.253248057889085,0.0,1.0743410235384998,,
536.0,2018-09-01,Overijssel,-0.65136486557837,-0.9562270695248972,-0.9007937248966186,0.0,0.1062752550472887,,
537.0,2018-09-01,Utrecht,0.666156482565635,-0.4171128423962051,-0.2083686552251964,0.0,0.2266786376344053,,
538.0,2018-09-01,Zeeland,-0.4317779742210358,,-0.4391770117823371,0.0,-1.5053621895354865,,
539.0,2018-09-01,Zuid-Holland,1.1053302652803032,-0.4171128423962051,0.0224397013319442,0.0,1.487081592756217,,
540.0,2018-10-01,Drenthe,-0.65136486557837,,-0.4391770117823371,0.0,-1.0521706297180344,,
541.0,2018-10-01,Flevoland,-0.3219845285423687,,0.0224397013319442,0.0,-0.9524340992609523,,
542.0,2018-10-01,Friesland,-0.761158311257037,-0.4171128423962051,-0.2083686552251964,0.0,-0.6815982209571082,,
543.0,2018-10-01,Gelderland,0.9955368196016362,0.3915584982968328,0.7148647710033664,0.0,0.9589488557843924,,
544.0,2018-10-01,Groningen,0.3367761455296337,-0.4171128423962051,1.86890655378907,0.0,-1.0289073219540792,,
545.0,2018-10-01,Limburg,0.5563630368869679,0.6611156118611788,0.9456731275605073,0.0,0.0075417125728072,,
546.0,2018-10-01,Noord-Brabant,0.775949928244302,0.1220013847324868,0.4840564144462256,0.0,1.359605384092034,,
547.0,2018-10-01,Noord-Holland,1.4347106023163043,0.1220013847324868,0.4840564144462256,0.0,1.0743410235384998,,
548.0,2018-10-01,Overijssel,-0.4317779742210358,-0.4171128423962051,-0.4391770117823371,0.0,0.1062752550472887,,
549.0,2018-10-01,Utrecht,0.9955368196016362,-0.1475557288318591,0.253248057889085,0.0,0.2266786376344053,,
550.0,2018-10-01,Zeeland,-0.1023976371850346,,-0.2083686552251964,0.0,-1.5053621895354865,,
551.0,2018-10-01,Zuid-Holland,1.6542974936736383,0.3915584982968328,0.7148647710033664,0.0,1.487081592756217,,
552.0,2018-11-01,Drenthe,-0.2121910828637017,,0.253248057889085,0.0,-1.0521706297180344,,
553.0,2018-11-01,Flevoland,0.2269826998509666,,0.253248057889085,0.0,-0.9524340992609523,,
554.0,2018-11-01,Friesland,-0.1023976371850346,1.200229838989871,0.4840564144462256,0.0,-0.6815982209571082,,
555.0,2018-11-01,Gelderland,0.9955368196016362,1.4697869525542169,0.9456731275605073,0.0,0.9589488557843924,,
556.0,2018-11-01,Groningen,0.666156482565635,1.200229838989871,2.0997149103462105,0.0,-1.0289073219540792,,
557.0,2018-11-01,Limburg,0.775949928244302,1.200229838989871,0.4840564144462256,0.0,0.0075417125728072,,
558.0,2018-11-01,Noord-Brabant,0.9955368196016362,1.4697869525542169,0.9456731275605073,0.0,1.359605384092034,,
559.0,2018-11-01,Noord-Holland,1.6542974936736383,2.0089011796829093,1.176481484117648,0.0,1.0743410235384998,,
560.0,2018-11-01,Overijssel,0.1171892541722995,0.6611156118611788,0.4840564144462256,0.0,0.1062752550472887,,
