,Year_Month,Province,Average NO2 Value,Average PM2.5 Value,Average PM10 Value,area_km2,vehicles_tot
370,2017-07-01,Zeeland,9,,14.0,0.0,8732228
371,2017-07-01,Zuid-Holland,21,7.0,16.0,0.0,62190626
372,2017-08-01,Drenthe,7,,12.0,0.0,11755668
373,2017-08-01,Flevoland,10,,14.0,0.0,12550586
374,2017-08-01,Friesland,6,4.0,12.0,0.0,14990976
375,2017-08-01,Gelderland,19,9.0,18.0,0.0,43979534
376,2017-08-01,Groningen,13,7.0,22.0,0.0,11936457
377,2017-08-01,Limburg,17,9.0,17.0,0.0,23560147
378,2017-08-01,Noord-Brabant,19,10.0,17.0,0.0,57201144
379,2017-08-01,Noord-Holland,24,9.0,18.0,0.0,47438165
380,2017-08-01,Overijssel,8,7.0,14.0,0.0,25136738
381,2017-08-01,Utrecht,20,8.0,15.0,0.0,27202822
382,2017-08-01,Zeeland,12,,17.0,0.0,8732228
383,2017-08-01,Zuid-Holland,27,9.0,18.0,0.0,62190626
384,2017-09-01,Drenthe,8,,11.0,0.0,11755668
385,2017-09-01,Flevoland,12,,13.0,0.0,12550586
386,2017-09-01,Friesland,7,7.0,12.0,0.0,14990976
387,2017-09-01,Gelderland,21,10.0,17.0,0.0,43979534
388,2017-09-01,Groningen,17,9.0,20.0,0.0,11936457
389,2017-09-01,Limburg,17,8.0,15.0,0.0,23560147
390,2017-09-01,Noord-Brabant,20,10.0,17.0,0.0,57201144
391,2017-09-01,Noord-Holland,27,10.0,18.0,0.0,47438165
392,2017-09-01,Overijssel,10,9.0,13.0,0.0,25136738
393,2017-09-01,Utrecht,23,9.0,15.0,0.0,27202822
394,2017-09-01,Zeeland,12,,15.0,0.0,8732228
395,2017-09-01,Zuid-Holland,30,11.0,17.0,0.0,62190626
396,2017-10-01,Drenthe,9,,12.0,0.0,11755668
397,2017-10-01,Flevoland,13,,15.0,0.0,12550586
398,2017-10-01,Friesland,7,6.0,14.0,0.0,14990976
399,2017-10-01,Gelderland,22,8.0,19.0,0.0,43979534
400,2017-10-01,Groningen,16,6.0,21.0,0.0,11936457
401,2017-10-01,Limburg,17,7.0,16.0,0.0,23560147
402,2017-10-01,Noord-Brabant,20,8.0,18.0,0.0,57201144
403,2017-10-01,Noord-Holland,24,8.0,19.0,0.0,47438165
404,2017-10-01,Overijssel,11,7.0,15.0,0.0,25136738
405,2017-10-01,Utrecht,22,7.0,17.0,0.0,27202822
406,2017-10-01,Zeeland,11,,15.0,0.0,8732228
407,2017-10-01,Zuid-Holland,27,9.0,20.0,0.0,62190626
408,2017-11-01,Drenthe,14,,12.0,0.0,11755668
409,2017-11-01,Flevoland,19,,13.0,0.0,12550586
410,2017-11-01,Friesland,11,8.0,13.0,0.0,14990976
411,2017-11-01,Gelderland,29,12.0,19.0,0.0,43979534
412,2017-11-01,Groningen,23,8.0,19.0,0.0,11936457
413,2017-11-01,Limburg,22,12.0,17.0,0.0,23560147
414,2017-11-01,Noord-Brabant,27,13.0,19.0,0.0,57201144
415,2017-11-01,Noord-Holland,33,10.0,19.0,0.0,47438165
416,2017-11-01,Overijssel,16,11.0,16.0,0.0,25136738
417,2017-11-01,Utrecht,31,11.0,17.0,0.0,27202822
418,2017-11-01,Zeeland,15,,15.0,0.0,8732228
419,2017-11-01,Zuid-Holland,35,11.0,20.0,0.0,62190626
420,2017-12-01,Drenthe,12,,9.0,0.0,11755668
421,2017-12-01,Flevoland,18,,11.0,0.0,12550586
422,2017-12-01,Friesland,10,7.0,10.0,0.0,14990976
423,2017-12-01,Gelderland,28,10.0,17.0,0.0,43979534
424,2017-12-01,Groningen,20,8.0,16.0,0.0,11936457
425,2017-12-01,Limburg,21,10.0,14.0,0.0,23560147
426,2017-12-01,Noord-Brabant,25,11.0,16.0,0.0,57201144
427,2017-12-01,Noord-Holland,30,10.0,17.0,0.0,47438165
428,2017-12-01,Overijssel,14,9.0,11.0,0.0,25136738
429,2017-12-01,Utrecht,29,10.0,15.0,0.0,27202822
430,2017-12-01,Zeeland,17,,13.0,0.0,8732228
431,2017-12-01,Zuid-Holland,33,11.0,17.0,0.0,62190626
432,2018-01-01,Drenthe,12,,14.0,0.0,11755668
433,2018-01-01,Flevoland,16,,14.0,0.0,12550586
434,2018-01-01,Friesland,11,9.0,14.0,0.0,14990976
435,2018-01-01,Gelderland,23,11.0,18.0,0.0,43979534
436,2018-01-01,Groningen,21,11.0,23.0,0.0,11936457
437,2018-01-01,Limburg,18,10.0,15.0,0.0,23560147
438,2018-01-01,Noord-Brabant,23,12.0,18.0,0.0,57201144
439,2018-01-01,Noord-Holland,27,12.0,19.0,0.0,47438165
440,2018-01-01,Overijssel,13,10.0,15.0,0.0,25136738
441,2018-01-01,Utrecht,25,11.0,17.0,0.0,27202822
442,2018-01-01,Zeeland,15,,15.0,0.0,8732228
